t_min,mode,illumination,rail_mw,battery_v_loaded,soc_percent,charge_mw
0.0,sunlight_active,1.0,33.165,3.7795,60.0046,1653.0
1.0,sunlight_active,1.0,33.165,3.7812,60.2782,1653.0
2.0,sunlight_active,1.0,33.165,3.7828,60.5517,1653.0
3.0,sunlight_active,1.0,33.165,3.7844,60.8251,1653.0
4.0,sunlight_active,1.0,33.165,3.7861,61.0984,1653.0
5.0,sunlight_active,1.0,33.165,3.7877,61.3716,1653.0
6.0,sunlight_active,1.0,33.165,3.7894,61.6446,1653.0
7.0,sunlight_active,1.0,33.165,3.791,61.9176,1653.0
8.0,sunlight_active,1.0,33.165,3.7926,62.1904,1653.0
9.0,sunlight_active,1.0,33.165,3.7943,62.4631,1653.0
10.0,sunlight_active,1.0,33.165,3.7959,62.7357,1653.0
11.0,sunlight_active,1.0,33.165,3.7975,63.0081,1653.0
12.0,sunlight_active,1.0,33.165,3.7992,63.2805,1653.0
13.0,sunlight_active,1.0,33.165,3.8008,63.5527,1653.0
14.0,sunlight_active,1.0,33.165,3.8024,63.8248,1653.0
15.0,sunlight_active,1.0,33.165,3.8041,64.0968,1653.0
16.0,sunlight_active,1.0,33.165,3.8057,64.3687,1653.0
17.0,sunlight_active,1.0,33.165,3.8073,64.6405,1653.0
18.0,sunlight_active,1.0,33.165,3.809,64.9121,1653.0
19.0,sunlight_active,1.0,33.165,3.8106,65.1836,1653.0
20.0,sunlight_active,1.0,33.165,3.8122,65.4551,1653.0
21.0,sunlight_active,1.0,33.165,3.8138,65.7264,1653.0
22.0,sunlight_active,1.0,33.165,3.8155,65.9975,1653.0
23.0,sunlight_active,1.0,33.165,3.8171,66.2686,1653.0
24.0,sunlight_active,1.0,33.165,3.8187,66.5396,1653.0
25.0,sunlight_active,1.0,33.165,3.8204,66.8104,1653.0
26.0,sunlight_active,1.0,33.165,3.822,67.0811,1653.0
27.0,sunlight_active,1.0,33.165,3.8236,67.3517,1653.0
28.0,sunlight_active,1.0,33.165,3.8252,67.6222,1653.0
29.0,sunlight_active,1.0,33.165,3.8268,67.8926,1653.0
30.0,sunlight_active,1.0,33.165,3.8285,68.1629,1653.0
31.0,sunlight_active,1.0,33.165,3.8301,68.433,1653.0
32.0,sunlight_active,1.0,33.165,3.8317,68.703,1653.0
33.0,sunlight_active,1.0,33.165,3.8333,68.973,1653.0
34.0,sunlight_active,1.0,33.165,3.8349,69.2428,1653.0
35.0,sunlight_active,1.0,33.165,3.8366,69.5124,1653.0
36.0,sunlight_active,1.0,33.165,3.8382,69.782,1653.0
37.0,sunlight_active,1.0,33.165,3.8399,70.0515,1653.0
38.0,sunlight_active,1.0,33.165,3.8417,70.3208,1653.0
39.0,sunlight_active,1.0,33.165,3.8436,70.59,1653.0
40.0,sunlight_active,1.0,33.165,3.8455,70.8591,1653.0
41.0,sunlight_active,1.0,33.165,3.8474,71.128,1653.0
42.0,sunlight_active,1.0,33.165,3.8493,71.3969,1653.0
43.0,sunlight_active,1.0,33.165,3.8512,71.6655,1653.0
44.0,sunlight_active,1.0,33.165,3.853,71.9341,1653.0
45.0,sunlight_active,1.0,33.165,3.8549,72.2025,1653.0
46.0,sunlight_active,1.0,33.165,3.8568,72.4708,1653.0
47.0,sunlight_active,1.0,33.165,3.8587,72.7389,1653.0
48.0,sunlight_active,1.0,33.165,3.8605,73.007,1653.0
49.0,sunlight_active,1.0,33.165,3.8624,73.2749,1653.0
50.0,sunlight_active,1.0,33.165,3.8643,73.5426,1653.0
51.0,sunlight_active,1.0,33.165,3.8662,73.8103,1653.0
52.0,sunlight_active,1.0,33.165,3.868,74.0778,1653.0
53.0,sunlight_active,1.0,33.165,3.8699,74.3452,1653.0
54.0,sunlight_active,1.0,33.165,3.8718,74.6124,1653.0
55.0,sunlight_active,1.0,33.165,3.8737,74.8795,1653.0
56.0,sunlight_active,1.0,33.165,3.8755,75.1465,1653.0
57.0,eclipse_low,0.0,2.458,3.8778,75.4089,0.0
58.0,eclipse_low,0.0,2.458,3.8778,75.4084,0.0
59.0,eclipse_low,0.0,2.458,3.8778,75.408,0.0
60.0,eclipse_low,0.0,2.458,3.8778,75.4075,0.0
61.0,eclipse_low,0.0,2.458,3.8778,75.407,0.0
62.0,eclipse_low,0.0,2.458,3.8778,75.4065,0.0
63.0,eclipse_low,0.0,2.458,3.8778,75.406,0.0
64.0,eclipse_low,0.0,2.458,3.8778,75.4056,0.0
65.0,eclipse_low,0.0,2.458,3.8778,75.4051,0.0
66.0,eclipse_low,0.0,2.458,3.8778,75.4046,0.0
67.0,eclipse_low,0.0,2.458,3.8778,75.4041,0.0
68.0,eclipse_low,0.0,2.458,3.8778,75.4037,0.0
69.0,eclipse_low,0.0,2.458,3.8778,75.4032,0.0
70.0,eclipse_low,0.0,2.458,3.8778,75.4027,0.0
71.0,eclipse_low,0.0,2.458,3.8778,75.4022,0.0
72.0,eclipse_low,0.0,2.458,3.8778,75.4017,0.0
73.0,eclipse_low,0.0,2.458,3.8778,75.4013,0.0
74.0,eclipse_low,0.0,2.458,3.8778,75.4008,0.0
75.0,eclipse_low,0.0,2.458,3.8778,75.4003,0.0
76.0,eclipse_low,0.0,2.458,3.8778,75.3998,0.0
77.0,eclipse_low,0.0,2.458,3.8778,75.3994,0.0
78.0,eclipse_low,0.0,2.458,3.8778,75.3989,0.0
79.0,eclipse_low,0.0,2.458,3.8778,75.3984,0.0
80.0,eclipse_low,0.0,2.458,3.8777,75.3979,0.0
81.0,eclipse_low,0.0,2.458,3.8777,75.3974,0.0
82.0,eclipse_low,0.0,2.458,3.8777,75.397,0.0
83.0,eclipse_low,0.0,2.458,3.8777,75.3965,0.0
84.0,eclipse_low,0.0,2.458,3.8777,75.396,0.0
85.0,eclipse_low,0.0,2.458,3.8777,75.3955,0.0
86.0,eclipse_low,0.0,2.458,3.8777,75.395,0.0
87.0,eclipse_low,0.0,2.458,3.8777,75.3946,0.0
88.0,eclipse_low,0.0,2.458,3.8777,75.3941,0.0
89.0,eclipse_low,0.0,2.458,3.8777,75.3936,0.0
90.0,eclipse_low,0.0,2.458,3.8777,75.3931,0.0
91.0,eclipse_low,0.0,2.458,3.8777,75.3927,0.0
92.0,eclipse_low,0.0,2.458,3.8777,75.3922,0.0
93.0,eclipse_low,0.0,2.458,3.8777,75.3917,0.0
94.0,eclipse_low,0.0,2.458,3.8777,75.3912,0.0
95.0,sunlight_active,1.0,33.165,3.8773,75.3952,1653.0
96.0,sunlight_active,1.0,33.165,3.8791,75.6619,1653.0
97.0,sunlight_active,1.0,33.165,3.881,75.9286,1653.0
98.0,sunlight_active,1.0,33.165,3.8829,76.195,1653.0
99.0,sunlight_active,1.0,33.165,3.8847,76.4614,1653.0
100.0,sunlight_active,1.0,33.165,3.8866,76.7276,1653.0
101.0,sunlight_active,1.0,33.165,3.8885,76.9937,1653.0
102.0,sunlight_active,1.0,33.165,3.8903,77.2597,1653.0
